,ID,Area Category,Rank Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Km Mandi,Tingkat/Lantai,Harga rata2 Komunitas,Harga Dipasarkan (dari Owner),Harga Terjual,Terjual/Belum,Encode Terjual/Belum,Status Kepemilikan,Rank Status Kepemilikan,Arah Hadap Rumah,Rank Arah Hadap Rumah,Posisi Rumah,Rank Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Pemilik Butuh Uang (Urgent),Encode Butuh Uang,Umur Bangunan,Siap Huni (Y/N),Furnish  (Y/N),Encode Furnish,Listed Berapa Lama,Encode Listed,Fasilitas Publik
77,,2,2,135.0,145.0,4,2,2.0,2300.0,2450.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,1.0,1,0,0,1,8.0,2
78,,2,2,135.0,140.0,4,3,2.0,2300.0,2300.0,2100.0,1,1,4,4,3,3,5,6,3,1,1.0,1.0,1,1,1,1,8.0,1
79,,3,3,450.0,650.0,7,6,2.0,8000.0,8500.0,0.0,0,0,4,4,3,3,2,3,3,0,0.0,2.0,1,1,1,1,8.0,1
80,,2,2,240.0,180.0,3,2,1.0,4000.0,4200.0,0.0,0,0,3,5,4,4,5,6,3,0,0.0,2.0,1,0,0,1,8.0,2
81,,2,2,200.0,280.0,5,4,2.0,3000.0,3500.0,0.0,0,0,3,5,4,4,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
82,,2,2,140.0,280.0,5,3,2.0,1200.0,1400.0,0.0,0,0,1,1,1,1,5,6,2,0,0.0,2.0,1,0,0,1,8.0,2
83,,4,4,345.0,550.0,6,5,2.0,15000.0,16000.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,1.0,1,1,1,1,8.0,1
84,,4,4,328.0,375.0,5,5,2.0,10000.0,10000.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
85,,3,3,360.0,360.0,6,5,2.0,6000.0,6500.0,0.0,0,0,3,5,1,1,5,6,3,0,0.0,3.0,1,1,1,1,8.0,1
86,,2,2,88.0,70.0,2,1,1.0,500.0,750.0,0.0,0,0,4,4,1,1,5,6,2,0,0.0,1.0,1,1,1,1,8.0,1
87,,3,3,170.0,161.0,4,4,2.0,3500.0,4000.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,1.0,1,1,1,1,8.0,1
88,,3,3,162.0,150.0,4,4,2.0,4000.0,4000.0,0.0,0,0,4,4,4,4,5,6,3,0,0.0,2.0,1,1,1,1,8.0,1
89,,3,3,200.0,215.0,4,5,3.0,4500.0,5750.0,0.0,0,0,2,3,2,2,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
